id	correctness	completeness	grounding	language	links	evidence	failure_type	note
I001	2	2	2	1	1	present	none	Correctly states application fee non-refundable and supplies official page.
I002	0	0	0	0	0	unavailable	verification_error	HTTP 503: local model could not verify its answer. Server log shows both verification attempts rejected; no answer delivered. Evidence not returned, so retrieval cannot be diagnosed.
I003	2	2	2	1	1	present	none	Correctly excludes core O-levels, with relevant IGCSE evidence and Arabic reply to Franco.
I004	2	2	2	1	1	present	none	Applies the four-year window correctly to a five-year-old certificate.
I005	2	2	2	1	1	present	none	Correctly treats AS Math D as the stated alternative to AL, alongside O-level requirements.
I006	0	1	1	1	1	present	meaning_lost	Answers yes to sufficiency despite failed TOK, then says subjects must be completed rather than passed. Pipeline normalizes 'ma3adetes TOK' to 'with TOK'; relevant pass requirement was retrieved. Irrelevant promotional material follows.
I007	2	2	2	1	1	present	none	Correctly requires Higher Level Mathematics and Physics, not Standard Level.
I008	2	2	2	1	1	present	none	Correctly identifies Chemistry and Biology HL; supporting IB checklist returned.
I009	2	2	2	1	1	present	none	Preserves discretionary AP credit wording and explicitly rejects automatic transfer.
I010	1	1	2	1	1	present	ambiguous_answer	Repeats the source's awkward OR wording, presenting two L2 subjects as the requirement while listing one L3 within it. Does not clearly answer the alternative question or mention the accompanying L1 requirement. Source wording itself is ambiguous; not treated as a proven false policy.
I011	1	0	1	1	1	absent	missing_evidence	Does not answer grade 11 versus grade 12 for Canadian Biology. Gives IGCSE/IB requirements and an unhelpful equivalence discussion instead; Canadian section is absent from returned passages although present on the official page.
I012	2	2	2	1	1	present	none	Correctly says passport is optional for Egyptians and includes national ID. Most direct cited chunk is the Azhar checklist, but its nationality clause matches the fresh Thanawya checklist; avoid certificate mixing in future.
I013	2	2	2	1	1	present	none	Correct sequence: Study in Egypt nomination before completing NU application, with official links.
I014	2	1	2	1	1	partial	missing_evidence	Correct master's four photos but does not provide undergraduate six; returned evidence contains only postgraduate photo counts. Useful half-answer, not full comparison.
I015	2	2	2	1	1	present	none	Correctly applies foreign-degree equivalency to both degrees even though the institution is public.
I016	2	2	2	1	1	present	none	Three recommendation letters, directly supported.
I017	2	2	2	1	1	present	none	Correctly rejects writing 6.0 under MSc MOT's 6.5 writing threshold. Numbered citation resolves to the official admissions URL.
