id	language	category	references	question	expectation
I001	en	admissions	admissions	If I pay NU's application charge and then choose another university, can I get that charge back?	Application fee is non-refundable; distinguish application charge from tuition; link the admissions page.
I002	ar	admissions	admissions	أنا أمريكان ودرست عاشرة وحادية عشرة وتانية عشرة في ٣ مدارس مختلفة جوه مصر. ينفع شهادة آخر مدرسة بس للنيل؟	Separate stamped transcripts for each grade, not just final school; General Examinations Department stamps.
I003	franco	admissions	admissions	ana IG w 3andy 8 O levels bas core mesh extended. yenfa3o lel NU?	Core does not meet the published extended-only requirement; no admission guarantee.
I004	en	admissions	admissions	My IGCSE subjects were completed five years before I plan to enroll at NU. Does the published time window cover me?	Published window is four years before enrollment; five years is outside it.
I005	ar	admissions	admissions	للتقديم لهندسة النيل بالـIG، عندي المواد المطلوبة في O level ومعايا AS Math بدرجة D. لازم أجيب A level كمان؟	Published requirement permits one AS or AL Mathematics at minimum D; not both.
I006	franco	admissions	admissions	ana IB 24 points bas ma3adetes TOK. el 24 keda kefaya lel Nile?	24 points alone insufficient; must pass TOK and Extended Essay.
I007	en	admissions	admissions	For an IB applicant to NU engineering, can Mathematics and Physics both be Standard Level?	Both Mathematics and Physics must be Higher Level for the stated schools.
I008	ar	admissions	admissions	أنا IB وعايز بيوتكنولوجي في النيل؛ أنهي مادتين لازم يكونوا HL بالذات؟	Chemistry and Biology HL.
I009	franco	admissions	admissions	law geebt scores 3alya fi AP, NU hat7sebholy credits automatic?	High AP scores may earn transfer credits; not automatic or guaranteed.
I010	en	admissions	admissions	I hold a Nile Schools certificate. For NU engineering, is one Level 3 Mathematics subject an alternative to two Level 2 subjects?	Yes in the published track, alongside seven required L1 subjects; L3 Maths alternative, not a substitute for all requirements.
I011	ar	admissions	admissions	معايا شهادة كندية وعايز بيوتكنولوجي النيل. Biology في grade 12 بس كفاية؟	Biology is required in both grades 11 and 12.
I012	franco	admissions	admissions	ana masry thanaweya 3amma w ma3andish passport. da ye3attal wara2 el ta2deem lel NU?	Passport copy optional for Egyptians; mandatory for non-Egyptians; national ID still required.
I013	en	admissions	admissions	I'm applying to Nile as a non-Egyptian. Is submitting NU's own form enough, or is there a separate government nomination step?	Study in Egypt portal and nomination letter followed by completion with NU; link official page or portal.
I014	ar	admissions	admissions	عدد الصور الشخصية في تقديم بكالوريوس النيل هو نفسه عددها في تقديم الماجستير؟	Undergraduate six versus master's four passport-size photos.
I015	franco	admissions	admissions	PhD NU: bachelor w master men gam3a 7okomeya barra masr. lazm equivalency lel etneen wala private bas?	PhD checklist equivalency for both degrees from private universities OR universities outside Egypt; public foreign degrees included.
I016	en	admissions	admissions	I'm assembling my NU master's application. How many recommendation letters should I request?	Three recommendation letters.
I017	ar	admissions	admissions	MSc MOT في النيل: IELTS overall 6.5 وwriting 6.0، كده محقق شرط الإنجليزي؟	No; writing also minimum 6.5 for MSc MOT, not general master's threshold.
I018	franco	admissions	admissions	PhD MOT fel Nile: TOEFL iBT 95 w writing 26. el score da ykafy?	No; minimum overall 94 and writing 27 for PhD MOT.
I019	en	admissions	admissions	For a regular NU master's application outside MOT, does the checklist accept AMIDEAST Institutional TOEFL, and at what score?	ITP administered by AMIDEAST at least 500; distinguish from iBT.
I020	ar	admissions	admissions	لو خلصت IG عند grade 11، النيل محتاجة إثبات معين إن التعليم بتاعي مكتمل؟	Proof of completing required education from Educational Administration stamped by General Examinations Department; no invented waiver.
I021	franco	admissions	admissions	French bac bta3y passable. el minimum grade el maktoob 3and NU eh?	Published minimum is passable; subject requirements and current admission rules still apply.
I022	en	admissions	admissions	What average and subject count does NU publish for the German Abitur? I'm trying to read that section rather than the American GPA rules.	Average 4, seven subjects in grades 11 and 12 with at least three advanced; do not confuse GPA 2.0.
I023	ar	admissions	admissions	في شهادة مدارس النيل، هل العربي لازم ضمن Level 1 لو داخل Business في الجامعة؟	Yes; seven L1 subjects include Arabic, English and Maths.
I024	franco	admissions	faq	natiget el thanaweya lesa matala3etsh. early admission fel Nile momken abl el grades wala lazm astanna?	Early application may be possible when open before final grades; not confirmation that a current round is open; official application link/page.
I025	en	admissions	faq,admissions	NU's FAQ says Oxford B1 but its admissions page says B2. Which one should I rely on before booking the test?	Acknowledge discrepancy, direct applicant to admissions for confirmation with both links; do not invent a definitive reconciliation.
I026	ar	services	clinic	عيادة الجامعة في أنهي مبنى وأنهي دور؟ أنا في الحرم ومش لاقيها.	Ground floor of UB2.
I027	franco	services	clinic	law ro7t clinic el NU yom gom3a el sa3a 5 ba3d el dohr, teb2a maftoo7a?	Friday closes at 4 pm; 5 pm outside published hours; link current clinic page.
I028	en	services	clinic	If a case is too complicated for NU's campus clinic, does the university describe a hospital transfer procedure?	Transfer under NU medical staff supervision, emergency family contact; no invented hospital name.
I029	ar	services	support	أنا في Business وبعاني في المواد. فيه tutoring ببلاش جوه النيل ولا كله دروس بره؟	TLC offers free tutoring for Business students; explain how it helps rather than generic study tips only.
I030	franco	services	support	TLC fel Nile momken yesa3edny a5tar major wala howa lel tutoring bas?	TLC also provides major-choice guidance and academic issues assistance.
I031	en	services	support	I'm already an NU student and my family's finances suddenly got worse. Is there a needs-based support office, and where can I reach it?	Partial need-based tuition support subject to funds; MeSamir@nu.edu.eg or B floor room 19; not guaranteed scholarship.
I032	ar	services	seec	عايز حد في النيل يراجع الـCV بتاعي. أروح SEEC ولا SCE؟	SEEC is the appropriate career/resume service; give booking page/form or seec@nu.edu.eg, distinguish similarly named SCE.
I033	franco	services	seec	el company talba internship recommendation letter men NU. fe form a2adem 3aleh?	SEEC Internship Letter Request form exists; point to actual form or official SEEC page without inventing URL.
I034	en	services	seec	I've graduated from NU already. Are SEEC career services described as available to alumni too?	Yes, students and alumni explicitly included.
I035	ar	services	seec	في النيل حد بيعمل mock interviews عشان أتمرن قبل مقابلة الشغل؟	SEEC mock interviews, practice/feedback and official booking/contact route.
I036	franco	services	library	maktabet NU momken tsa3edny at3allem a2ayyem el research sources wala heya kotob bas?	Library offers research assistance and effective information use/critical evaluation education.
I037	en	transport_ocr	bus	Is the 2026/27 NU bus-price chart charging for the full academic year or for one semester?	Per term/one semester, not annual.
I038	ar	transport_ocr	bus	أتوبيس النيل من حدائق الأهرام اشتراكه كام للترم 2026/2027؟ ابعتلي الصفحة كمان.	9800 EGP per term; current transport page link.
I039	franco	transport_ocr	bus	far2 eshterak bus NU ben sheikh zayed w masr el gedida fel term 2026/27 kam?	8800 versus 15300; difference 6500 EGP per term, linked chart/page.
I040	en	clubs	icpc	I'm a complete programming beginner at NU. Does its ICPC community describe a starting level for people like me?	Level 0 teaches basic programming; no need to already be advanced.
I041	ar	clubs	nimun	أنا بحب تنظيم الإيفنتات أكتر من السياسة. NIMUN فيه دور ليا ولا لازم أكون مناظر؟	Organizing/administrative branch alongside academic branch; fits event organization.
I042	franco	clubs	wessal	3ayez ata6awwa3 ma3 Wessal NU. fe email lel club?	wessal_nu@nu.edu.eg; charity/volunteering context, not admissions email.
I043	en	clubs	enactus	Which NU student organization brought back the Meshwary training described as free and UNICEF-approved?	Enactus NU; historical achievement, no claim registrations currently open.
I044	ar	clubs	pack	أنا عايز yoga أو pilates في أنشطة الجامعة، مش فريق كرة. فيه club بيذكر الحاجات دي؟	NU Pack lists Pilates/yoga; no invented timetable.
I045	franco	clubs	trojan	Trojan NU da esports team wala cybersecurity community? by3melo eh?	Cybersecurity community, workshops/sessions/friendly competitions; not esports team.
I046	en	clubs	pixels	I want hands-on Adobe Premiere and Photoshop practice at NU. Is there a student club that specifically lists those tools?	Pixels lists these tools and multimedia training/workshops.
I047	ar	clubs	film	نفسي أعمل فيلم قصير بس عمري ما صورت حاجة. FilmFish بيقبل مبتدئين؟	Yes, no need to be professional; collaborative films and teaching.
I048	franco	clubs	gsp	GSP NU ma3naha graduate degree? wala student activity? esmha el kamel eh?	Graduate Starter Pack student club/activity, not postgraduate degree.
I049	en	clubs	ieee	Does IEEE-NU mention a Women in Engineering group, and what is that group for?	WIE supports/promotes women in engineering and encourages girls in STEM.
I050	ar	clubs	nimun	NIMUN مقصور على طلبة النيل ولا وصفه بيقول إن ناس من بره الجامعة ممكن تشارك؟	Description includes participants within and outside NU; current registration subject to organizer confirmation.
I051	franco	clubs	gsp	Simulatopedia beta3 GSP kan lecture bas wala kan fe ta3arrof 3ala companies w internships?	Work-life experience involving companies, workshops and selected internship opportunities; no universal internship guarantee.
I052	en	programs	bioinfo	I like analyzing DNA datasets more than doing wet-lab experiments. What does NU's Bioinformatics description say about genomics and proteomics?	Computational biological data; genomic entities/genes/transcripts and protein sets; distinguish interests without promising job.
I053	ar	programs	appliedbio	Applied Biotechnology في النيل ممكن يوديني لمجال forensic science ولا ده بعيد عن وصف البرنامج؟	Forensic scientist/forensic and molecular labs explicitly listed as possible careers, no employment guarantee.
I054	franco	programs	mechatronics	ana biomedical engineer. MSc mechatronics NU target graduates zayy wala mechanical bas?	Biomedical engineers explicitly targeted, not limited to mechanical; admission not automatic.
